X.ID_REF	IDENTIFIER	GSM1356340	GSM1356341	GSM1356342	GSM1356328	GSM1356329	GSM1356330	GSM1356331	GSM1356332	GSM1356333	GSM1356334	GSM1356335	GSM1356336	GSM1356337	GSM1356338	GSM1356339	GSM1356325	GSM1356326	GSM1356327
1763164_s_at	yfeX	11.8747	11.9485	11.7808	11.8669	11.9035	11.888	11.9815	11.9119	11.763	11.7995	11.7964	11.6949	12.3462	12.2787	11.9982	12.6266	12.3278	12.2497
1760273_s_at	yfeY	11.0349	11.2103	11.2418	11.7068	11.6935	11.7434	11.9494	11.3598	11.6851	11.8542	11.8291	11.8122	10.4393	10.4162	10.3715	10.2593	10.3057	10.439
1763727_s_at	yfeZ	10.2644	10.2435	10.6322	10.5222	10.5933	10.6638	10.9964	10.9624	10.6664	10.6626	10.925	10.9738	9.27884	9.17039	8.96211	9.71391	9.63372	9.64538
1761135_s_at	yffB	11.0738	10.9546	10.9731	10.8335	10.8615	10.8737	12.7784	12.5435	12.5375	11.6971	11.8193	11.7723	9.01266	9.00984	8.70024	10.6309	11.1667	11.1976
1761260_s_at	yffG	7.53263	8.01358	7.86235	7.76955	7.77228	7.83846	7.63603	7.90617	7.62098	7.62575	7.70218	7.73227	7.11371	7.30246	7.48279	9.01325	8.37784	8.63996
1764209_s_at	yffH	9.90138	10.2325	9.94287	10.1294	10.0698	10.1047	10.0153	10.1214	9.88247	10.5717	10.535	10.4345	10.8809	10.9133	10.6644	10.4583	10.4917	10.3762
1765006_at	yffL	8.83131	9.45505	9.36652	9.32362	9.32042	9.57244	9.85302	9.62248	9.75147	9.42232	9.45444	9.57167	9.18298	9.17222	9.01703	8.98594	9.05587	8.97094
1762466_at	yffM	5.79652	5.77938	6.09429	5.85348	5.71206	6.00844	6.70142	6.43318	6.61544	6.17393	6.1684	6.32337	5.38189	5.36893	5.39291	6.69292	5.49816	5.39541
1767754_at	yffN	6.3939	6.30149	6.15738	6.2192	6.24568	6.32041	7.03529	6.87544	6.71778	6.48533	6.6984	6.53908	6.07151	5.65932	6.37899	6.66156	6.4504	6.29452
1763136_at	yffO	8.52543	8.35083	8.35897	8.12876	8.23219	8.15596	9.70491	9.52056	9.67415	8.54837	8.67509	8.80482	7.99258	8.07943	7.57003	8.46198	8.33098	8.32714
1761992_at	yffP	7.76526	7.56779	7.42335	7.44059	7.41818	7.47408	8.85589	8.96701	8.86717	7.80504	7.84513	7.78709	7.36422	7.52083	7.23626	7.76794	7.77159	7.65063
1760070_at	yffQ	6.81104	6.97137	6.88857	6.54522	6.57432	6.71848	8.28849	7.90471	8.08292	7.38862	7.3611	7.40995	8.17016	8.11775	8.34395	7.306	7.37588	7.28987
1763943_at	yffR	10.0976	10.4373	10.3986	10.1946	10.3462	10.3247	11.8485	11.4044	11.711	11.2538	11.4324	11.2685	11.2477	11.2405	11.1185	10.2521	10.531	10.3402
1769288_at	yffS	11.0064	10.9015	11.0072	10.765	10.7318	10.7214	13.1185	12.743	12.8773	11.4859	11.4463	11.4573	11.1942	11.2056	11.3102	11.2617	11.2685	11.1946
1759184_at	yfgA	4.4646	4.93092	4.56695	4.5385	4.48721	4.38123	4.31962	4.035	4.29273	4.54974	4.43735	4.53832	4.25034	4.43735	4.53177	4.11196	4.63748	4.38123
1767666_s_at	yfgB	12.2749	12.0101	12.0371	12.1143	12.0422	12.0358	12.0809	12.037	11.9118	11.9546	11.9395	11.9206	12.1283	12.1186	12.0602	11.5013	11.6876	11.6806
